StartTime,ErrCode,Repetition
2017/05/04 05:18:51,E551010L,1
2017/05/04 05:58:56,E551010L,1
2017/05/04 05:58:56,E620003R,4
2017/05/04 05:59:25,E620002R,1
2017/05/04 06:14:02,E620002R,1
2017/05/04 06:42:28,E620002R,1
2017/05/04 06:43:26,E620002L,2
2017/05/04 06:44:45,E620002R,1
2017/05/04 06:45:31,E620002L,1
2017/05/04 08:36:07,E620002L,1
2017/05/04 08:36:12,E620002R,1
2017/05/04 08:45:12,E620002L,1
2017/05/04 08:52:01,E600003L,1
2017/05/04 08:52:01,E620003L,1
2017/05/04 08:52:10,E551010R,1
2017/05/04 14:42:08,E620002R,1
2017/05/04 14:42:52,E620002L,1
2017/05/04 14:45:38,E620002L,1
2017/05/04 14:46:08,E620002R,1
2017/05/04 18:54:48,E620002L,1
2017/05/04 18:54:55,E620002R,1
2017/05/04 22:07:26,E620002L,1
2017/05/04 22:07:26,E620002R,1
2017/05/04 22:16:13,E620002R,2
2017/05/04 22:29:52,E551502R,1
2017/05/04 22:30:39,E551010L,1
2017/05/04 22:31:12,E620003R,1
2017/05/04 22:31:39,E620002R,1
2017/05/04 23:14:39,E600003R,1
2017/05/04 23:14:39,E620003R,1
2017/05/04 23:14:47,E551010L,1
2017/05/04 23:16:41,E620003R,2
2017/05/04 23:16:42,E620002R,1
2017/05/05 03:59:50,E551010L,1
2017/05/05 03:59:50,E620003R,2
2017/05/05 06:29:37,E530014R,1
2017/05/05 06:29:41,E530030L,2
2017/05/05 06:29:51,E530024R,4
2017/05/05 06:29:54,E530025R,4
2017/05/05 13:52:45,E620002L,1
2017/05/05 13:53:07,E620002R,1
2017/05/05 13:55:58,E620002L,1
2017/05/05 16:28:39,E620002L,1
2017/05/05 16:28:47,E620002R,1
2017/05/05 16:42:27,E620002L,1
2017/05/05 19:55:37,E551010R,1
2017/05/05 19:55:57,E632107L,1
2017/05/05 21:36:35,E620002L,1
2017/05/05 23:04:55,E620002L,2
2017/05/06 04:05:19,E620002R,2
2017/05/06 04:05:22,E620002L,2
2017/05/06 04:08:47,E620002R,2
2017/05/06 04:54:48,E530014R,1
2017/05/06 04:54:48,E530030L,1
2017/05/06 04:55:15,E530024R,1
2017/05/06 04:55:18,E530025R,1
2017/05/06 05:00:32,E620002L,1
2017/05/06 05:01:04,E620002R,1
2017/05/06 17:40:39,E600003R,1
2017/05/06 17:40:39,E620003R,1
2017/05/06 17:41:22,E551010L,1
2017/05/06 18:12:44,E620002R,1
2017/05/07 02:30:58,E600003L,1
2017/05/07 02:30:58,E620003L,1
2017/05/08 08:35:29,E620002L,1
2017/05/08 08:35:31,E620002R,1
2017/05/08 08:39:48,E620002R,3
2017/05/08 08:39:51,E620002L,1
2017/05/08 08:43:07,E620002L,1
2017/05/08 10:58:11,E620002L,1
2017/05/08 11:00:22,E620002L,1
2017/05/08 11:02:32,E620002R,1
2017/05/08 17:18:19,E620003R,1
2017/05/08 17:18:31,E551010L,1
2017/05/09 02:02:44,E620003L,1
2017/05/09 02:05:22,E551010R,1
2017/05/09 04:02:14,E600003L,1
2017/05/09 04:02:14,E620003L,1
2017/05/09 04:03:14,E551010R,1
2017/05/09 06:47:59,E551010L,1
2017/05/09 06:47:59,E600003R,1
2017/05/09 06:47:59,E620003R,1
2017/05/09 06:50:21,E632236L,1
2017/05/09 06:51:40,E551010R,1
2017/05/09 06:52:20,E620002L,2
2017/05/09 08:26:22,E551010R,1
2017/05/09 08:26:22,E620003L,1
2017/05/09 09:59:45,E551010R,1
2017/05/09 09:59:45,E620003L,2
2017/05/09 12:59:56,E620002L,1
2017/05/09 13:00:03,E620002R,1
2017/05/09 14:22:53,E620002L,1
2017/05/09 14:23:51,E620002R,1
2017/05/09 14:25:49,E620002L,1
2017/05/09 15:41:11,E620002L,1
2017/05/09 15:41:16,E620002R,1
2017/05/09 15:47:52,E620002R,1
2017/05/09 17:26:56,E600003R,1
2017/05/09 17:26:56,E620003R,1
2017/05/09 17:27:56,E551010L,1
2017/05/09 20:40:32,E620002L,1
2017/05/09 20:40:32,E620002R,1
2017/05/09 23:41:57,E620002R,1
2017/05/09 23:42:12,E620002L,1
2017/05/10 00:44:58,E620002L,2
2017/05/10 03:22:38,E600003L,1
2017/05/10 03:22:38,E620003L,1
2017/05/10 03:26:09,E620003R,1
2017/05/10 03:32:10,E620003L,1
2017/05/10 03:32:15,E551502L,1
2017/05/10 03:33:01,E551010R,1
2017/05/10 03:44:39,E620002L,1
2017/05/10 03:44:39,E620002R,1
2017/05/10 06:47:06,E620002L,2
2017/05/10 06:47:28,E620002R,1
2017/05/10 08:41:14,E620002R,2
2017/05/10 08:43:09,E620002L,4
2017/05/10 08:45:09,E620002L,1
2017/05/10 08:59:06,E620003L,1
2017/05/10 09:13:28,E551010R,2
2017/05/10 09:13:28,E632108L,2
2017/05/10 09:15:25,E620002L,1
2017/05/10 09:16:22,E551010R,1
2017/05/10 09:16:22,E632234L,1
2017/05/10 10:18:04,E620002L,1
2017/05/10 10:18:05,E620002R,1
2017/05/10 10:23:22,E620002L,1
2017/05/10 10:24:26,E620003R,3
2017/05/10 10:24:54,E620002R,1
2017/05/10 11:03:27,E620002L,1
2017/05/10 11:03:33,E620002R,1
2017/05/10 11:08:47,E620002R,1
2017/05/10 11:53:21,E632504R,1
2017/05/10 13:09:13,E600003L,1
2017/05/10 13:09:13,E620003L,1
2017/05/10 13:09:46,E551010R,1
2017/05/10 13:16:51,E620002L,1
